[
{3114162,0},
{3124434,2182},
{3134707,4341},
{3144979,6408},
{3155252,8622},
{3165524,11134},
{3175797,14304},
{3186069,17420},
{3196342,20438},
{3206614,23584},
{3216887,27053},
{3227159,30670},
{3237432,34315},
{3247705,38290},
{3257977,43746},
{3268250,48708},
{3278522,54136},
{3288795,60613},
{3299067,67627},
{3309340,75011},
{3319612,82920},
{3329885,91348},
{3340157,100156},
{3350430,109479},
{3360702,119269},
{3370975,129271},
{3381248,139809},
{3391520,150749},
{3401793,161846},
{3412065,173384},
{3422338,185460},
{3432610,198004},
{3442883,210742},
{3453155,223954},
{3463428,237809},
{3473700,252439},
{3483973,267657},
{3494245,283504},
{3504518,300190},
{3514791,317308},
{3525063,335121},
{3535336,353421},
{3545608,372161},
{3555881,390915},
{3566153,409763},
{3576426,427846},
{3586698,445662},
{3596971,463339},
{3607243,479896},
{3617516,495601},
{3627788,510538},
{3638061,524984},
{3648334,538699},
{3658606,551807},
{3668879,564098},
{3679151,576217},
{3689424,587747},
{3699696,599164},
{3709969,610497},
{3720241,621535},
{3730514,632507},
{3740786,643664},
{3751059,654813},
{3761332,665880},
{3771604,676953},
{3781877,688368},
{3792149,699676},
{3802422,711422},
{3812694,723019},
{3822967,735018},
{3833239,746710},
{3843512,758217},
{3853784,769970},
{3864057,781166},
{3874329,792227},
{3884602,802602},
{3894875,812584},
{3905147,822527},
{3915420,831665},
{3925692,840735},
{3935965,849177},
{3946237,857574},
{3956510,865711},
{3966782,873575},
{3977055,881413},
{3987327,889387},
{3997600,897274},
{4007872,905079},
{4018145,913083},
{4028418,921260},
{4038690,929735},
{4048963,938640},
{4059235,947869},
{4069508,957055},
{4079780,966327},
{4090053,974514},
{4100325,982102},
{4110598,988508},
{4120870,993698},
{4131143,997426},
{4141415,999999},
]
[
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
{10,21},
